#{"t_start": 1774356949.3810318, "env_id": "None"}
r,l,t
-0.995404,6,616.145873
-0.990486,8,618.280649
-0.996437,4,619.354344
-0.99771,3,620.174324
-0.988988,10,622.870015
-0.995669,5,624.213184
-0.990204,8,626.341419
-1.0,1,626.638483
-0.998213,3,627.43664
-0.996974,3,628.237358
-0.981567,15,632.266214
-0.998758,4,633.353406
-0.995163,6,634.959613
-0.998122,3,635.771197
-0.997194,5,637.146201
-1.0,1,637.417056
-0.990512,8,639.585156
-1.0,1,639.860418
-0.99868,2,640.414574
-1.0,1,640.680956
-0.99495,5,642.017217
-0.993838,5,643.366368
-0.992849,7,645.222508
-0.998561,2,645.762278
-0.995239,5,647.110376
-0.995551,4,648.167362
-0.997107,4,649.257264
-0.993639,6,650.912374
-0.997985,4,651.999699
-0.99855,2,652.541151
-0.992919,9,654.929351
-0.989426,9,657.376894
-0.993853,5,658.766479
-0.998417,2,659.324026
-0.998062,3,660.118758
-0.997195,3,660.925119
-0.987975,9,663.326776
-0.998527,2,663.879021
-0.993661,6,665.477262
-1.0,1,665.753613
-0.995712,4,666.816542
-0.988443,9,669.226583
-0.988085,9,671.657685
-0.988513,10,674.311183
-0.998388,3,675.108656
-0.991111,8,677.231688
-0.997699,3,678.043133
-0.995561,5,679.393151
-0.996553,4,680.444874
-0.997994,3,681.269706
-0.996715,4,682.341458
-0.994519,5,683.711841
-1.0,1,683.976631
-0.989554,9,686.409975
-1.0,1,686.706756
-0.997078,3,687.516926
-0.997008,3,688.341777
-1.0,1,688.611591
-0.998673,2,689.156847
-0.990113,8,691.351265
-0.995631,6,692.920027
-1.0,1,693.189966
-0.994756,5,694.562225
-0.999035,2,695.095196
-0.984176,12,698.284715
-0.993899,6,699.912946
-0.998919,2,700.473731
-0.999022,4,701.539348
-0.998904,2,702.093567
-0.993866,5,703.451963
-0.992436,7,705.32566
-1.0,1,705.595403
-0.997786,3,706.404353
-0.998525,2,706.949099
-0.997547,3,707.757157
-1.0,1,708.043736
-0.992365,8,710.285391
-1.0,1,710.548222
-0.999037,2,711.102446
-0.992752,8,713.301844
-0.999032,2,713.859763
-0.99788,3,714.652067
-0.994115,5,716.027324
-0.998858,4,717.127973
-0.996042,5,718.468102
-0.998644,2,719.004284
-1.0,1,719.274494
-0.995732,4,720.369235
-1.0,1,720.645687
-0.992814,6,722.220039
-0.99887,3,723.03165
-0.992667,7,724.902876
-0.997301,3,725.740441
-0.999033,2,726.298899
-1.0,1,726.567608
-1.0,1,726.8457
-0.994728,5,728.174809
-0.994837,5,729.513142
-0.991408,8,731.68601
-0.997825,3,732.487098
-0.99534,5,733.845248
-1.0,1,734.109603
-1.0,1,734.382686
-1.0,1,734.665543
-0.98828,11,737.642247
-0.995312,5,738.957116
-0.985992,16,743.266022
-1.0,1,743.547745
-1.0,1,743.814151
-0.986625,10,746.489324
-0.998998,2,747.04261
-0.993903,6,748.657411
-0.998723,2,749.185504
-0.99687,4,750.254348
-0.996418,4,751.327903
-0.998266,3,752.13053
-0.998605,4,753.258364
-0.997584,3,754.051054
-0.996858,4,755.135348
-0.998972,3,755.958004
-1.0,1,756.222912
-0.98723,10,758.932208
-0.994772,5,760.297748
-0.998846,2,760.84071
-0.994072,6,762.440497
-0.973681,23,768.6478
-1.0,1,768.929923
-0.991139,8,771.067119
-0.998659,3,771.884857
-0.992517,8,774.050177
-0.998662,2,774.594316
-0.983932,14,778.325238
-1.0,1,778.610007
-0.997643,3,779.397782
-0.996673,4,780.491805
-0.991169,7,782.326294
-0.998878,2,782.881708
-1.0,1,783.163577
-0.997632,3,783.98507
-0.998415,2,784.52466
-1.0,1,784.793908
-0.998425,4,785.894708
-0.999016,3,786.710988
-0.999047,2,787.236683
-0.998504,2,787.798884
-0.994542,5,789.117557
-0.996127,5,790.458109
-0.991631,8,792.603557
-0.99641,4,793.677164
-0.980966,17,798.225823
-0.997207,3,799.048154
-0.991438,8,801.184474
-0.998494,3,801.994524
-0.992088,7,803.849747
-0.989574,8,806.012612
-0.997224,4,807.131005
-0.998795,4,808.18456
-0.998455,2,808.745871
-0.9952,5,810.081704
-0.99806,3,810.883692
-0.992482,7,812.732064
-1.0,1,813.034625
-0.997013,3,813.827844
-0.99771,5,815.165563
-0.997416,3,815.974246
-0.994317,5,817.330335
-0.996514,4,818.436485
-0.997981,4,819.482389
-1.0,1,819.773686
-0.998591,2,820.310209
-0.988145,9,822.75838
-0.996871,3,823.59467
-0.999,3,824.409918
-0.991362,8,826.540279
-0.991035,7,828.389807
-0.977946,18,833.501613
-0.996158,4,834.722558
-0.996357,4,835.928826
-0.996515,4,837.180182
-0.998436,2,837.774289
-0.990042,9,840.481761
-0.995087,5,841.984872
-1.0,1,842.263217
-1.0,1,842.545595
-0.997046,4,843.64117
-0.998635,3,844.473412
-0.998544,2,845.002588
-0.998949,2,845.579425
-0.998522,2,846.11417
-0.997932,3,846.911707
-0.997981,3,847.727724
-0.997322,4,848.790551
-0.995722,4,849.866686
-1.0,1,850.144848
-0.991183,8,852.296622
-0.994708,6,853.893184
-0.996985,3,854.702303
-0.982971,15,858.71057
-0.998363,3,859.524164
-0.997662,3,860.338529
-1.0,1,860.616974
-0.997484,4,861.716639
-0.994972,5,863.070182
-0.993558,6,864.664726
-0.996082,4,865.743289
-0.996847,4,866.822176
-1.0,1,867.097042
-0.995403,4,868.158273
-0.997927,3,868.981837
-0.995373,4,870.07469
-1.0,1,870.348494
-0.991081,8,872.492542
-0.998476,2,873.028606
-0.997339,5,874.387371
-0.997451,4,875.478209
-0.997233,4,876.573043
-0.997627,3,877.373255
-1.0,1,877.650619
-0.993132,6,879.234353
-0.993977,7,881.110179
-0.997167,4,882.186611
-0.996094,4,883.244048
-0.998046,4,884.310376
-0.998078,3,885.114907
-0.998518,2,885.658821
-0.996664,4,886.742368
-0.998999,2,887.293752
-0.999047,2,887.822953
-0.990354,9,890.236507
-0.998046,18,895.042202
-0.992826,8,897.169795
-0.997759,3,897.998615
-0.998635,12,901.234201
-0.993552,6,902.854005
-1.0,1,903.130403
-0.987446,10,906.023352
-0.987861,9,908.462332
-0.985636,11,911.401491
-0.998515,2,911.986072
-0.998998,2,912.548647
-0.995894,4,913.65294
-0.992964,7,915.54405
-0.998317,3,916.396022
-0.994113,5,917.970712
-0.998443,7,919.852628
-0.999044,8,922.060256
-0.997289,3,922.901506
-0.995489,6,924.50916
-0.995834,5,925.867666
-0.997329,4,926.938404
-0.999038,3,927.747923
-0.997697,3,928.580161
-0.998569,3,929.385289
-0.988509,10,932.060958
-0.996449,4,933.163589
-0.998998,2,933.7012
-0.994794,5,935.034598
-1.0,1,935.31597
-0.998773,2,935.865425
-0.998973,2,936.393684
-0.991033,7,938.271701
-0.999047,3,939.096268
-0.999047,3,939.884869
-1.0,1,940.169829
-0.997486,5,941.509947
-1.0,1,941.792816
-0.99849,2,942.319924
-0.99801,3,943.141927
-0.996762,4,944.217901
-0.998998,2,944.781437
-0.997782,3,945.598565
-0.990387,8,947.740912
-0.998884,2,948.279587
-0.993632,6,949.878191
-0.996092,4,950.980779
-0.997434,4,952.079648
-0.993183,6,953.661245
-0.992798,6,955.272153
-0.998522,2,955.820042
-0.993754,6,957.43956
-0.994775,5,958.774906
-0.994586,6,960.368803
-0.99864,2,960.908171
-1.0,1,961.1885
-0.999047,2,961.741326
-0.99901,2,962.293241
-1.0,1,962.565636
-0.999047,3,963.386069
-0.999039,2,963.913043
-0.991023,9,966.329949
-0.980061,16,970.903278
-0.99718,4,971.997916
-0.992843,7,973.88179
-0.995338,5,975.211162
-0.998633,2,975.761818
-0.994206,6,977.34279
-0.999047,4,978.44959
-1.0,1,978.722589
-0.996994,3,979.529197
-0.989328,9,981.945554
-0.993308,6,983.599312
-0.999009,2,984.17683
-0.996067,4,985.242333
-0.994774,6,986.838633
-1.0,1,987.128576
-0.992298,7,989.029307
-0.998525,2,989.5757
-0.99102,8,991.695709
-0.998132,4,992.756891
-1.0,1,993.035463
-0.99779,3,993.845385
-0.995521,4,994.940851
-0.998939,4,996.035168
-0.990427,8,998.21796
-0.996176,5,999.585128
-0.99489,5,1000.959405
-0.999044,2,1001.485765
-0.990876,7,1003.368585
-0.990239,15,1007.353305
-0.994945,5,1008.676493
-0.999045,2,1009.250736
-0.993353,7,1011.111947
-0.997049,3,1011.929899
-0.99343,6,1013.536594
-0.994483,6,1015.156841
-0.998483,2,1015.695989
-0.98668,10,1018.412817
-1.0,1,1018.675675
-0.998695,3,1019.473675
-0.998857,4,1020.549608
-0.998557,2,1021.105842
-0.984525,12,1024.341077
-0.997899,4,1025.410509
-0.990841,9,1027.845571
-0.992499,6,1029.474536
-0.993015,7,1031.362661
-0.990297,9,1033.876163
-1.0,1,1034.322485
-0.996991,4,1035.450317
-0.999013,2,1036.00449
-0.994902,5,1037.364555
-0.998613,2,1037.894288
-0.989208,9,1040.324726
-1.0,1,1040.611544
-1.0,1,1040.886373
-0.995744,4,1041.976809
-1.0,1,1042.26068
-1.0,1,1042.526094
-0.994772,5,1043.877608
-0.99352,6,1045.499667
-0.996143,5,1046.845878
-0.989567,10,1049.53572
-0.996501,4,1050.598828
-0.9985,2,1051.13685
-0.996951,3,1051.951108
-0.994432,5,1053.305586
-0.996425,4,1054.389427
-0.993135,8,1056.537338
-0.995532,4,1057.625461
-0.995216,5,1059.012613
-0.99776,3,1059.830621
-0.993781,6,1061.451253
-0.99684,5,1062.79112
-1.0,1,1063.070352
-0.995035,5,1064.405361
-1.0,1,1064.68495
-0.994518,6,1066.277667
-0.995297,5,1067.631962
-0.991837,7,1069.548906
-0.993987,7,1071.421313
-1.0,1,1071.704469
-0.99299,7,1073.575889
-0.994499,5,1074.90813
-0.995467,5,1076.263142
-0.99722,3,1077.071151
-1.0,1,1077.351444
-0.998839,4,1078.413338
-0.985767,12,1081.628661
-0.995597,4,1082.677559
-0.996658,5,1084.037994
-0.996129,4,1085.12211
-0.997468,4,1086.198273
-0.992781,7,1088.110146
-0.981198,16,1092.361949
-0.996598,5,1093.735642
-0.997653,3,1094.536813
-1.0,1,1094.830599
-0.995375,5,1096.199007
-0.998527,2,1096.748202
-0.997108,3,1097.547461
-0.996005,4,1098.663093
-0.992205,7,1100.52838
-0.998778,3,1101.342016
-0.995021,5,1102.659527
-0.995387,5,1104.005954
-0.994787,5,1105.380466
-1.0,1,1105.651407
-0.998487,2,1106.228534
-0.999033,2,1106.772229
-0.995551,4,1107.839448
-1.0,1,1108.127092
-0.994975,5,1109.481422
-0.994173,5,1110.832279
-0.999008,3,1111.624443
-0.99845,2,1112.164582
-0.988501,9,1114.538769
-0.993052,6,1116.117114
-0.994755,6,1121.341126
-0.995413,6,1122.95982
-0.99511,5,1124.312999
-0.998991,3,1125.144594
-0.992629,6,1126.791909
-0.99281,6,1128.409021
-1.0,1,1128.682716
-0.996933,3,1129.490747
-0.981392,16,1133.780848
-0.998101,3,1134.573857
-0.994647,6,1136.194474
-0.997107,4,1137.255254
-0.99899,5,1138.63026
-0.991095,9,1141.014454
-0.990252,8,1143.173812
-0.993388,7,1145.033779
-0.999023,2,1145.585603
-0.984399,13,1149.100993
-0.993896,6,1150.68139
-0.994265,5,1152.03403
-0.984552,12,1155.270118
-0.996703,4,1156.350937
-0.983054,14,1160.064011
-0.994134,7,1161.95558
-0.986175,10,1164.639842
-1.0,1,1164.918399
-0.996263,4,1166.008919
-1.0,1,1166.290461
-0.99671,4,1167.364215
-0.997389,4,1168.443963
-0.997968,4,1169.50358
-0.987586,13,1173.018808
-0.997649,3,1173.816006
-0.994911,5,1175.161189
-0.991317,7,1177.062369
-0.996656,4,1178.154096
-0.999047,3,1178.945281
-1.0,1,1179.226676
-0.995928,4,1180.300259
-0.993628,6,1181.863908
-0.999019,2,1182.390222
-0.988551,10,1185.042853
-0.988774,9,1187.499892
-1.0,1,1187.764389
-0.996326,5,1189.09807
-0.986526,11,1192.058579
-1.0,1,1192.328526
-1.0,1,1192.614296
-0.996288,5,1193.97835
-0.991725,7,1195.857657
-1.0,1,1196.156493
-0.998959,2,1196.695449
-0.999039,3,1197.521325
-0.993341,6,1199.145137
-0.998831,2,1199.712825
-0.990572,8,1201.861308
-0.998458,2,1202.404991
-0.992068,7,1204.288453
-0.997825,3,1205.121215
-0.998305,3,1206.16702
-0.998574,2,1206.722888
-0.997373,4,1207.797864
-0.996421,4,1208.856153
-0.997917,4,1209.974071
-0.993975,6,1211.604162
-0.988338,16,1215.920147
-0.995244,5,1217.243649
-0.998731,4,1218.323417
-0.998581,2,1218.865823
-0.996558,4,1219.957895
-0.994544,5,1221.312344
-0.993255,6,1222.927645
-0.985074,13,1226.449227
-0.991308,8,1228.61827
-0.999018,2,1229.171212
-0.996694,6,1230.777345
-0.975586,19,1235.90465
-0.989882,9,1238.331543
-0.994531,5,1239.666596
-0.998998,2,1240.214186
-0.996548,4,1241.292629
-0.997629,4,1242.361012
-0.9955,4,1243.425371
-0.992144,8,1245.621387
-0.995782,4,1246.691291
-0.999047,3,1247.507159
-0.980628,16,1251.794425
-0.993161,6,1253.408901
-0.997322,4,1254.481033
-0.992919,6,1256.086836
-0.997029,4,1257.174681
-0.996897,4,1258.265677
-0.99249,8,1260.388076
-0.995225,6,1261.960259
-0.99091,8,1264.090467
-0.998506,4,1265.141046
-0.995094,5,1266.481596
-0.997296,3,1267.312771
-0.997129,4,1268.391973
-0.995466,5,1269.743969
-0.992358,7,1271.671131
-0.990656,10,1274.329673
-0.996911,3,1275.154434
-0.999025,2,1275.701869
-1.0,1,1275.981982
-0.996166,5,1277.336703
-0.992922,6,1278.94376
-0.995761,5,1280.28932
-0.99901,2,1280.804281
-1.0,1,1281.089858
-0.992175,8,1283.233462
-0.993831,6,1284.859577
-0.988992,9,1287.278102
-0.990513,8,1289.400203
-0.991561,7,1291.274618
-0.988854,9,1293.6965
-0.9947,5,1295.027127
-0.993439,6,1296.600536
-0.996541,4,1297.682591
-0.99565,4,1298.762445
-0.997763,3,1299.564762
